geneIDs	disper	pval	padj	TEtreated	TEcontrol	log2FC_TE(control vs treated)	
FBgn0037222	nan	nan	nan	0.08099300973638554	0.664170339930933	3.035683993578121
FBgn0085334	nan	nan	nan	0.42176791154426363	2.027598813180471	2.265250981610813
FBgn0037224	nan	nan	nan	0.13519806976045654	0.5103904992957607	1.9165269199601904
FBgn0037225	nan	nan	nan	0.20554479004369838	0.3037912217259616	0.5636273784062569
FBgn0250821	nan	nan	nan	0.4214925001597217	0.5907007541629009	0.4869204931323965
FBgn0037227	nan	nan	nan	0.3681834423730001	1.3818584033710983	1.9081131392192414
FBgn0041621	nan	nan	nan	0.20656922594055732	0.3770373038237022	0.8680819279965579
FBgn0037228	0.1229734730935785	0.000994081140893055	0.006748247021541642	0.07487294813240303	0.40909281001939746	2.4499117144777207
FBgn0037229	nan	nan	nan	0.29333585050113387	0.513884757177171	0.8088914565247067
FBgn0041605	nan	nan	nan	0.0014911942825939649	0.0061174525490809	2.0364627722111788
FBgn0037230	nan	nan	nan	0.023198930824075623	0.09685828771893988	2.061817181924643
FBgn0037231	0.0019300103516014674	0.01766034374171066	0.059167273901277836	0.3677093861333231	0.24590394266489116	-0.5804711368209159
FBgn0027930	nan	nan	nan	12.601464888624504	9.021207021972884	-0.48219907152531905
FBgn0037232	0.003064955370253811	0.0007354834520943987	0.005314649536120629	0.031621612329613275	0.02007504245834262	-0.6555078909996093
FBgn0261086	nan	nan	nan	0.018985460769055818	0.009964585126234325	-0.9300133679060787
FBgn0037234	0.0022829175658235982	0.0007217634868830203	0.005230695231194707	0.006767721599318235	0.004503233518263619	-0.5877089306288639
FBgn0027866	0.0021976993590133186	4.801702416790121e-06	0.00010878883616461635	0.020791952835523573	0.01922684985738845	-0.11290285659775279
FBgn0037236	0.00896516016188169	0.03585808063760909	0.09993136166115481	0.023817973827395336	0.018627330036186985	-0.35462979050627386
FBgn0040687	nan	nan	nan	1.0	1.0	0.0
FBgn0037235	0.0022733364392558443	0.00016707332807996966	0.00168148330727133	0.015062095143415026	0.009714259620533216	-0.6327465143755733
FBgn0261434	nan	nan	nan	0.07945459444780231	0.7501145320403889	3.2389083411810544
FBgn0037238	nan	nan	nan	0.01563583936331614	0.2022685211730559	3.693343239100175
FBgn0037239	0.0007987015508187564	0.03019378629327496	0.08790032861182955	0.008008108224664986	0.009350765878485968	0.22362306295200707
FBgn0037240	0.009649483262216228	0.5465093757944045	0.6862100858308708	0.02090600779699894	0.025036948681789812	0.26014115622521583
FBgn0003882	0.0011241999231435833	0.00085302755513883	0.005957703147890544	0.0015090589293269095	0.0006538485597768034	-1.2066207130316258
FBgn0037241	0.0059718679695787286	0.002100155835064732	0.011802372761726054	0.030230918551107776	0.01810103274658227	-0.7399528031904339
FBgn0086608	0.2219832352760759	0.023341421931140638	0.07217476827966794	0.10328377419464473	0.3323406108682517	1.6860489704559605
FBgn0037242	0.004781190858412186	0.1935668504073158	0.3372708082752674	0.0696808190974486	0.04482366962742638	-0.6365008185594041
FBgn0086605	0.0032998691913797653	0.021554283763784543	0.06845582169987072	0.02282032342736452	0.01558710560650133	-0.549966182111957
FBgn0037244	0.0007180390123282905	0.00760756963706144	0.03146977015705636	0.020150968803710555	0.01269865968240724	-0.6661729697517957
FBgn0263594	0.02880864988560876	0.3860497538294888	0.5463124547084242	0.01456515563179723	0.01667744594806246	0.19537724844429682
FBgn0052944	nan	nan	nan	0.002261576054095099	0.02110670312898788	3.22230082904062
FBgn0051528	nan	nan	nan	0.025823221202168897	0.5953862217884244	4.527084956118161
FBgn0037248	0.016647109928523782	0.3117013714108169	0.4720157112852789	0.003561623204492709	0.002470494249831396	-0.5277351993287791
FBgn0051525	nan	nan	nan	0.0007865849297149896	0.027122938765458838	5.107767146702086
FBgn0037249	0.014139153831661267	0.006929657979483639	0.029311477245049667	0.0269598036333206	0.03640598297389439	0.4333655745679188
